#Sección,Descripción Sección,Dirección General,Descripción Dirección General,Grupo de Función,Descripción Grupo,Función,Descripción Función,Programa,Descripción Programa,Capítulo,Descripción Capítulo,Artículo,Descripción Artículo,Concepto,Descripción Concepto,Subconcepto,Descripción Subconcepto,Obligado
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121B,ADMINISTRACIÓN DE LA FUNCIÓN PÚBLICA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,121,Retrib. complementarias,12109,Sustituciones,2850.69
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121B,ADMINISTRACIÓN DE LA FUNCIÓN PÚBLICA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,121,Retrib. complementarias,12148,Complemento por Incapacidad Temporal,13107.15
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121B,ADMINISTRACIÓN DE LA FUNCIÓN PÚBLICA,1,GASTOS DE PERSONAL,16,"CUOT, PREST Y GTOS SOCIAL",160,Cuotas sociales,16000,Seguridad Social,654271.69
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121B,ADMINISTRACIÓN DE LA FUNCIÓN PÚBLICA,1,GASTOS DE PERSONAL,16,"CUOT, PREST Y GTOS SOCIAL",160,Cuotas sociales,16001,Otras,44499.94
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121B,ADMINISTRACIÓN DE LA FUNCIÓN PÚBLICA,1,GASTOS DE PERSONAL,16,"CUOT, PREST Y GTOS SOCIAL",162,Gtos prest sociales fun y,16216,Seguros con facturación,42000.0
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121B,ADMINISTRACIÓN DE LA FUNCIÓN PÚBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",220,Material de oficina,22001,"Prensa, revistas, libros",1307.45
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121B,ADMINISTRACIÓN DE LA FUNCIÓN PÚBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",221,Suministros,22109,Otros suministros,3198.8
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121B,ADMINISTRACIÓN DE LA FUNCIÓN PÚBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",221,Suministros,22110,Productos farmacéuticos,497.09
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121B,ADMINISTRACIÓN DE LA FUNCIÓN PÚBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",221,Suministros,22141,Vestuario,724.71
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121B,ADMINISTRACIÓN DE LA FUNCIÓN PÚBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",223,Transportes,22300,Transportes,302.41
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121B,ADMINISTRACIÓN DE LA FUNCIÓN PÚBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",226,Gastos diversos,22606,"Reuniones, confer y curs",48.0
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121B,ADMINISTRACIÓN DE LA FUNCIÓN PÚBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",226,Gastos diversos,22616,"Reuniones, conferencias y cursos con fac",275.88
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121B,ADMINISTRACIÓN DE LA FUNCIÓN PÚBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",227,Trab real ot empres y pro,22706,Estudios y trabajos técn,1754.5
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121B,ADMINISTRACIÓN DE LA FUNCIÓN PÚBLICA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",227,Trab real ot empres y pro,22709,Otros,3979.02
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12000,Sueldos del Grupo A1 y A,102406.96
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12001,Sueldos del Grupo A2 y B,28227.39
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12002,Sueldos del Grupo C1 y C,21085.87
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12003,Sueldos del Grupo C2 y D,47512.29
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12008,Antigüedad,43163.49
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,121,Retrib. complementarias,12100,Complemento de destino,137601.07
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,121,Retrib. complementarias,12101,Complementos específicos,268082.81
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,121,Retrib. complementarias,12102,Otros complementos,4336.76
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,121,Retrib. complementarias,12148,Complemento por Incapacidad Temporal,4609.81
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,1,GASTOS DE PERSONAL,13,LABORALES (EXC INST SANI),130,Retrib bás person laboral,13004,Sueldos del grupo V,14143.23
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,1,GASTOS DE PERSONAL,13,LABORALES (EXC INST SANI),130,Retrib bás person laboral,13008,Antigüedad,1528.11
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,1,GASTOS DE PERSONAL,13,LABORALES (EXC INST SANI),131,Retrib compl pers laboral,13148,Complemento por Incapacidad Temporal,199.93
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,1,GASTOS DE PERSONAL,16,"CUOT, PREST Y GTOS SOCIAL",160,Cuotas sociales,16000,Seguridad Social,122388.83
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,1,GASTOS DE PERSONAL,16,"CUOT, PREST Y GTOS SOCIAL",160,Cuotas sociales,16001,Otras,6378.34
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,1,GASTOS DE PERSONAL,16,"CUOT, PREST Y GTOS SOCIAL",162,Gtos prest sociales fun y,16202,Formación y perfeccionami,68485.0
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,1,GASTOS DE PERSONAL,16,"CUOT, PREST Y GTOS SOCIAL",162,Gtos prest sociales fun y,16212,Formación y perfeccionamiento con factur,143425.84
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",226,Gastos diversos,22607,Oposiciones y pruebas sel,14260.51
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",226,Gastos diversos,22616,"Reuniones, conferencias y cursos con fac",100.32
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,23,INDEMNICACIONES SERVICIO,230,Dietas y locomoción,23000,A personal funcionario,297.16
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,23,INDEMNICACIONES SERVICIO,233,Otras indemnizaciones,23300,A personal funcionario,11324.67
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,23,INDEMNICACIONES SERVICIO,233,Otras indemnizaciones,23301,A personal laboral,547.1
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1508,DIRECCIÓN GENERAL DE LA FUNCIÓN PÚBLICA,1,SERVICIOS DE CARÁCTER GENERAL,12,ADMINISTRACIÓN GENERAL,121D,SELECCIÓN Y FORMACIÓN DEL PERSONAL DE LA,4,TRANSFERENC CORRIENTES,48,A FAMILIAS E INST. SFL,480,A familias e instit sfl,48000,A familias e instit sfl,176693.38
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,1,GASTOS DE PERSONAL,10,ALTOS CARGOS,100,Retr bás y ot rem alt car,10000,Retribuciones básicas,55166.36
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12000,Sueldos del Grupo A1 y A,240888.95
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12001,Sueldos del Grupo A2 y B,147232.79
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12002,Sueldos del Grupo C1 y C,128437.37
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12003,Sueldos del Grupo C2 y D,135167.46
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,120,Retribuciones básicas,12008,Antigüedad,139391.16
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,121,Retrib. complementarias,12100,Complemento de destino,421462.04
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,121,Retrib. complementarias,12101,Complementos específicos,708425.79
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,121,Retrib. complementarias,12102,Otros complementos,2415.67
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,1,GASTOS DE PERSONAL,12,FUNCION EXC DOCENT E INST,121,Retrib. complementarias,12148,Complemento por Incapacidad Temporal,2992.25
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,1,GASTOS DE PERSONAL,13,LABORALES (EXC INST SANI),130,Retrib bás person laboral,13004,Sueldos del grupo V,15761.68
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,1,GASTOS DE PERSONAL,13,LABORALES (EXC INST SANI),130,Retrib bás person laboral,13008,Antigüedad,1654.87
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,1,GASTOS DE PERSONAL,15,INCENTIVOS AL RENDIMIENTO,151,Gratificaciones,15100,Gratificaciones,38586.21
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,1,GASTOS DE PERSONAL,16,"CUOT, PREST Y GTOS SOCIAL",160,Cuotas sociales,16000,Seguridad Social,366734.09
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,1,GASTOS DE PERSONAL,16,"CUOT, PREST Y GTOS SOCIAL",160,Cuotas sociales,16001,Otras,2762.8
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,1,GASTOS DE PERSONAL,16,"CUOT, PREST Y GTOS SOCIAL",163,Gastos y presta laborales,16304,Transporte del personal,352.5
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,20,ARRENDAMIENTOS Y CÁNONES,205,Mobiliario y enseres,20500,Mobiliario y enseres,1911.34
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIÓN, MANTENIMIENTO",212,Edif y otras construccion,21200,Edif y otras construccion,81033.59
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIÓN, MANTENIMIENTO",213,"Maquin, instal y utillaje",21300,"Maquin, instal y utillaje",361.77
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIÓN, MANTENIMIENTO",214,Elementos de transporte,21400,Elementos de transporte,1772.03
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIÓN, MANTENIMIENTO",215,Mobiliario y enseres,21500,Mobiliario y enseres,10219.72
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIÓN, MANTENIMIENTO",216,Equip procesos informac,21600,Equip procesos informac,351413.42
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",220,Material de oficina,22000,Ordinario no inventariabl,3713.21
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",220,Material de oficina,22001,"Prensa, revistas, libros",21773.94
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",220,Material de oficina,22002,Material informát no inv,816.02
15,HACIENDA Y ADMINISTRACIONES PÚBLICAS,1509,DIRECCIÓN GENERAL DE PROTECCIÓN CIUDADAN,2,"DEFENSA, PROTECCIÓN CIVIL Y SEGURIDAD CI",22,PROTECCIÓN CIVIL Y SEGURIDAD CIUDADANA,221A,PROTECCIÓN CIUDADANA,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS",221,Suministros,22100,Energía eléctrica,111369.39
