#Sección,Des. Sección,O. Gestor,Des. O. Gestor,Centro Gestor,Des. C. Gestor,G. Función,Des. G. Función,i,j,Programa,Des. Programa,Capítulo,Des. Capítulo,Artículo,Des. Artículo,Concepto,Des. Concepto,Subconcepto,Des. Subconcepto,Pos. Presupuestaria,Fondo,Des. Fondo,Proyecto,Des. Proyecto,Presupuesto  - 2024
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIONES, MANTENIMIENTO Y CONSERVACIÓN",213,"Maquinaria, instalaciones y utillaje",21300,"Maquinaria, instalaciones y utillaje",G/313C/21300,,,,,39000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIONES, MANTENIMIENTO Y CONSERVACIÓN",214,Elementos de transporte,21400,Elementos de transporte,G/313C/21400,,,,,12000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIONES, MANTENIMIENTO Y CONSERVACIÓN",215,Mobiliario y enseres,21500,Mobiliario y enseres,G/313C/21500,,,,,40000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,21,"REPARACIONES, MANTENIMIENTO Y CONSERVACIÓN",216,Equipos para procesos de información,21600,Equipos para procesos de información,G/313C/21600,,,,,6500
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",220,Material de oficina,22000,Ordinario no inventariable,G/313C/22000,,,,,34200
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",220,Material de oficina,22001,"Prensa, revistas, libros y otras publicaciones",G/313C/22001,,,,,470
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",220,Material de oficina,22002,Material informático no inventariable,G/313C/22002,,,,,6800
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",221,Suministros,22100,Energía eléctrica,G/313C/22100,,,,,450000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",221,Suministros,22101,Agua,G/313C/22101,,,,,146000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",221,Suministros,22102,Gas,G/313C/22102,,,,,400000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",221,Suministros,22103,Combustible,G/313C/22103,,,,,371350
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",221,Suministros,22105,Productos alimenticios,G/313C/22105,,,,,712320
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",221,Suministros,22107,Impresos y efectos timbrados por tributos cedidos,G/313C/22107,,,,,200
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",221,Suministros,22108,"Material deportivo, didáctico y cultural",G/313C/22108,,,,,8000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",221,Suministros,22109,Otros suministros,G/313C/22109,,,,,400000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",221,Suministros,22110,Productos farmacéuticos,G/313C/22110,,,,,8250
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",221,Suministros,22120,Instrumental y pequeño utillaje sanitario,G/313C/22120,,,,,200
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",221,Suministros,22140,Lencería,G/313C/22140,,,,,54340
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",221,Suministros,22141,Vestuario,G/313C/22141,,,,,83200
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",221,Suministros,22164,Otro material sanitario,G/313C/22164,,,,,12000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",223,Transportes,22300,Transportes,G/313C/22300,,,,,160000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",225,Tributos,22500,Locales,G/313C/22500,,,,,15500
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",226,Gastos diversos,22606,"Reuniones, conferencias y cursos",G/313C/22606,,,,,5000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",226,Gastos diversos,22608,Gastos de edición y distribución,G/313C/22608,,,,,1300
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",226,Gastos diversos,22609,Otros,G/313C/22609,,,,,63440
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",226,Gastos diversos,22611,Compensación gastos de representación,G/313C/22611,,,,,100
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",226,Gastos diversos,22615,Otras actuaciones de divulgación y promoción insti,G/313C/22615,,,,,2000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",227,Trabajos realizados por otras empresas y profesion,22700,Limpieza y aseo,G/313C/22700,,,,,1900000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",227,Trabajos realizados por otras empresas y profesion,22701,Seguridad,G/313C/22701,,,,,25000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",227,Trabajos realizados por otras empresas y profesion,22706,Estudios y trabajos técnicos,G/313C/22706,,,,,5850
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",227,Trabajos realizados por otras empresas y profesion,22709,Otros,G/313C/22709,,,,,6850000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",227,Trabajos realizados por otras empresas y profesion,22750,Servicios contratados y de comedor,G/313C/22750,,,,,857620
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,22,"MATERIALES, SUMINISTROS Y OTROS",227,Trabajos realizados por otras empresas y profesion,22782,Servicios de carácter informático,G/313C/22782,,,,,6500
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,23,INDEMNIZACIONES POR RAZÓN DEL SERVICIO,230,Dietas y locomoción,23000,A personal funcionario y no laboral,G/313C/23000,,,,,9000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,23,INDEMNIZACIONES POR RAZÓN DEL SERVICIO,230,Dietas y locomoción,23001,A personal laboral,G/313C/23001,,,,,2300
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,24,PRESTACIÓN DE SERVICIOS SOCIALES CON MEDIOS AJENOS,245,Con entidades privadas,24500,Con entidades privadas,G/313C/24500,,,,,2077860
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,24,PRESTACIÓN DE SERVICIOS SOCIALES CON MEDIOS AJENOS,245,Con entidades privadas,24500,Con entidades privadas,G/313C/24500,FPA0090006,P.O. FSE 2014-2020,,,21160
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,2,GASTOS EN BIENES CORRIENTES Y SERVICIOS,24,PRESTACIÓN DE SERVICIOS SOCIALES CON MEDIOS AJENOS,245,Con entidades privadas,24502,Gestión de plazas residenciales,G/313C/24502,,,,,10353170
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,4,TRANSFERENCIAS CORRIENTES,42,A ENTIDADES PÚBLICAS DE LA JUNTA,423,Fundaciones Públicas Regionales,42304,Fundación sociosanitaria de Castilla-La Mancha,G/313C/42304,,,JCCM/0000004668,FUND. SOCIOSANIT.CLM - ACC. DISCAPACIDAD,6251550
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,4,TRANSFERENCIAS CORRIENTES,46,A CORPORACIONES LOCALES,461,En materia de promoción y protección social,46141,Plan de atención a personas con discapacidad,G/313C/46141,,,JCCM/0000024820,DISCAPAC.2023-MANTENIMIENTO CENTROS EELL,2726760
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,4,TRANSFERENCIAS CORRIENTES,46,A CORPORACIONES LOCALES,461,En materia de promoción y protección social,46141,Plan de atención a personas con discapacidad,G/313C/46141,,,JCCM/0000025619,DISCAPAC.2024-MANTENIMIENTO CENTROS EELL,4222200
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,4,TRANSFERENCIAS CORRIENTES,48,A FAMILIAS E INSTITUCIONES SIN FIN DE LUCRO,481,En materia de promoción y protección social,48141,Plan de atención a personas con discapacidad,G/313C/48141,,,JCCM/0000024821,DISCAPAC.2023-CENTROS Y SERVICIOS EEPP,5551290
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,4,TRANSFERENCIAS CORRIENTES,48,A FAMILIAS E INSTITUCIONES SIN FIN DE LUCRO,481,En materia de promoción y protección social,48141,Plan de atención a personas con discapacidad,G/313C/48141,,,JCCM/0000025620,DISCAPAC.2024-CENTROS Y SERVICIOS EEPP,49550680
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,4,TRANSFERENCIAS CORRIENTES,48,A FAMILIAS E INSTITUCIONES SIN FIN DE LUCRO,481,En materia de promoción y protección social,48141,Plan de atención a personas con discapacidad,G/313C/48141,0000000562,Plan acción personas en dependencia,JCCM/0000025620,DISCAPAC.2024-CENTROS Y SERVICIOS EEPP,3784010
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,4,TRANSFERENCIAS CORRIENTES,48,A FAMILIAS E INSTITUCIONES SIN FIN DE LUCRO,481,En materia de promoción y protección social,48141,Plan de atención a personas con discapacidad,G/313C/48141,FPA0090011,P.O. FSE PLUS 2021-2027,JCCM/0000025620,DISCAPAC.2024-CENTROS Y SERVICIOS EEPP,2500000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,4,TRANSFERENCIAS CORRIENTES,48,A FAMILIAS E INSTITUCIONES SIN FIN DE LUCRO,481,En materia de promoción y protección social,48142,Acción tutelar en Castilla-La Mancha,G/313C/48142,,,JCCM/0000024822,MEDIDAS JUDICIALES DE APOYO 2023,319850
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,4,TRANSFERENCIAS CORRIENTES,48,A FAMILIAS E INSTITUCIONES SIN FIN DE LUCRO,481,En materia de promoción y protección social,48142,Acción tutelar en Castilla-La Mancha,G/313C/48142,,,JCCM/0000025621,MEDIDAS JUDICIALES DE APOYO 2024,2781570
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,6,INVERSIONES REALES,62,INVERSIÓN NUEVA ASOCIADA AL FUNCIONAMIENTO OPERATI,620,"Edificios, terrenos y otras construcciones",62000,Edificios y otras construcciones,G/313C/62000,FPA0090014,MECANISMO RECUPERACIÓN Y RESILIENCIA. UE,JCCM/MRR22I1256,CENTRO DE DÍA  PERSONAS CON DISCAPAC GU,2800000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,6,INVERSIONES REALES,62,INVERSIÓN NUEVA ASOCIADA AL FUNCIONAMIENTO OPERATI,620,"Edificios, terrenos y otras construcciones",62000,Edificios y otras construcciones,G/313C/62000,FPA0090014,MECANISMO RECUPERACIÓN Y RESILIENCIA. UE,JCCM/MRR22I1060,NUEVA RESIDENCIA EN CUENCA,4600000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,6,INVERSIONES REALES,62,INVERSIÓN NUEVA ASOCIADA AL FUNCIONAMIENTO OPERATI,620,"Edificios, terrenos y otras construcciones",62000,Edificios y otras construcciones,G/313C/62000,FPA0090014,MECANISMO RECUPERACIÓN Y RESILIENCIA. UE,JCCM/MRR22I1061,NUEVA RESIDENCIA Y CENT OCUPACI ALCARAZ,3300000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,6,INVERSIONES REALES,62,INVERSIÓN NUEVA ASOCIADA AL FUNCIONAMIENTO OPERATI,620,"Edificios, terrenos y otras construcciones",62000,Edificios y otras construcciones,G/313C/62000,FPA0090014,MECANISMO RECUPERACIÓN Y RESILIENCIA. UE,JCCM/MRR22I1059,NUEVO CENT DE DÍA DISCAPACIDAD TORRIJOS,3055000
27,BIENESTAR SOCIAL,2708,DIRECCIÓN GENERAL DE DISCAPACIDAD,27080000,DIRECCIÓN GENERAL DE DISCAPACIDAD,3,"SEGURIDAD, PROTECCIÓN Y PROMOCIÓN SOCIAL",,,313C,ATENCIÓN A LAS PERSONAS CON DISCAPACIDAD,6,INVERSIONES REALES,62,INVERSIÓN NUEVA ASOCIADA AL FUNCIONAMIENTO OPERATI,620,"Edificios, terrenos y otras construcciones",62000,Edificios y otras construcciones,G/313C/62000,FPA0090014,MECANISMO RECUPERACIÓN Y RESILIENCIA. UE,JCCM/MRR22I1062,NUEVO CENTRO DE DÍA EN MOTILLA DEL PALAN,2500000
